city_id,city_en,city_ko,country_code,country_id_2,monthly_cost_usd,internet_mbps,safety_score,english_score,nomad_score,climate,cowork_usd_month,coworking_score,community_size,mid_term_rent_usd,tax_residency_days,flatio_search_url,anyplace_search_url,nomad_meetup_url,korean_community_size,round_trip_required,work_disclosure_risk,source_refs,data_verified_date
AMS,Amsterdam,암스테르담,NLD,NL,3500,300,8,10,8,maritime,400,9,large,2000,183,https://www.flatio.com/s?destination=amsterdam,https://anyplace.com/rent/amsterdam,https://www.meetup.com/digital-nomads-amsterdam/,small,,,numbeo_cost_index|ookla_speedtest_global|official_visa_portals|internal_editorial_scoring,2026-04-03
ASU,Asuncion,아순시온,PRY,PY,1300,확인필요,6,3,7,subtropical,120,6,small,550,183,https://www.flatio.com/s?destination=asuncion,https://anyplace.com/rent/asuncion,,small,확인필요,입국심사 시 원격근무 목적 언급은 보수적으로 대응 권장,nomads_fastest_growing_2026|travel_blog_checks_2026Q1,2026-04-03
ATH,Athens,아테네,GRC,GR,2000,100,7,7,7,mediterranean,200,7,medium,900,183,https://www.flatio.com/s?destination=athens,https://anyplace.com/rent/athens,https://www.meetup.com/digital-nomads-athens/,small,,,numbeo_cost_index|ookla_speedtest_global|official_visa_portals|internal_editorial_scoring,2026-04-03
BCN,Barcelona,바르셀로나,ESP,ES,2400,200,7,7,8,mediterranean,350,9,large,1600,183,https://www.flatio.com/s?destination=barcelona,https://anyplace.com/rent/barcelona,https://www.meetup.com/barcelona-digital-nomads/,small,,,numbeo_cost_index|ookla_speedtest_global|official_visa_portals|internal_editorial_scoring,2026-04-01
BEG,Belgrade,베오그라드,SRB,RS,1300,120,7,6,7,continental,120,6,medium,550,183,https://www.flatio.com/s?destination=belgrade,https://anyplace.com/rent/belgrade,https://www.meetup.com/digital-nomads-belgrade/,small,,,numbeo_cost_index|ookla_speedtest_global|official_visa_portals|internal_editorial_scoring,2026-04-01
BKK,Bangkok,방콕,THA,TH,1400,200,6,7,8,tropical,120,9,large,700,180,https://www.flatio.com/s?destination=bangkok,https://anyplace.com/rent/bangkok,https://www.meetup.com/digital-nomads-bangkok/,large,Y,입국심사 시 원격근무 언급 시 취업 비자 필요로 오해받을 수 있음. 관광 목적으로만 답변 권장,numbeo_cost_index|ookla_speedtest_global|official_visa_portals|internal_editorial_scoring,2026-04-01
BLN,Berlin,베를린,DEU,DE,2800,120,8,9,8,continental,400,9,large,1600,183,https://www.flatio.com/s?destination=berlin,https://anyplace.com/rent/berlin,https://www.meetup.com/digital-nomads-berlin/,small,,,numbeo_cost_index|ookla_speedtest_global|official_visa_portals|internal_editorial_scoring,2026-04-01
BUD,Budapest,부다페스트,HUN,HU,1300,150,7,7,8,continental,180,7,large,750,183,https://www.flatio.com/s?destination=budapest,https://anyplace.com/rent/budapest,https://www.meetup.com/digital-nomads-budapest/,small,,,numbeo_cost_index|ookla_speedtest_global|official_visa_portals|internal_editorial_scoring,2026-04-01
CEI,Chiang Rai,치앙라이,THA,TH,800,80,8,5,6,tropical,60,5,small,300,180,https://www.flatio.com/s?destination=chiang-rai,https://anyplace.com/rent/chiang-rai,,small,,,numbeo_cost_index|ookla_speedtest_global|official_visa_portals|internal_editorial_scoring,2026-04-01
CEU,Cebu,세부,PHL,PH,1000,50,5,9,7,tropical,80,6,medium,550,180,https://www.flatio.com/s?destination=cebu,https://anyplace.com/rent/cebu,https://www.meetup.com/digital-nomads-cebu/,medium,Y,입국심사 시 원격근무 언급 시 취업 비자 필요로 오해받을 수 있음. 관광 목적으로만 답변 권장,numbeo_cost_index|ookla_speedtest_global|official_visa_portals|internal_editorial_scoring,2026-04-01
