country_code,country_name_en,country_name_ko,korea_visa_free_days,korea_entry_type,nomad_visa_available,nomad_visa_name,nomad_visa_income_req_usd,nomad_visa_fee_usd,nomad_visa_duration_months,nomad_visa_renewable,tourist_visa_notes,source_notes,last_verified,schengen,ees_applicable,buffer_zone,tax_residency_days,double_tax_treaty_with_kr,cost_tier,mid_term_rental_available,key_docs,tax_note,income_period,income_tiers_note,official_source_url
ALB,Albania,알바니아,90,무비자,Y,Unique Permit (원격근무 허가),820,확인필요,12,Y,한국인 무비자 90일 (쌍무 협약),"연 $9,800 (~$817/월) 자립 증명; 비자 수수료 상호주의; 온라인 신청 가능; Type D 장기비자 → 거주허가; EU 솅겐 비가입 (EU 가입 후보국)",2026-03-31,N,N,Y,183,N,low,Y,유효 여권 (입국 시 자동 허가); 소득 증빙 불필요 (공식 요구 없음); 숙박 증빙 (선택),비거주자 현지 소득세 없음. 외국 소득 비과세,monthly,,https://e-albania.al
ARE,UAE (Dubai),아랍에미리트 (두바이),90,무비자,Y,Virtual Working Programme (VWP),3500,600,12,Y,한국인 무비자 30일 (연장 60일 가능),"월 $3,500 이상; 기본 신청비 $101 (UAE 외부) 또는 $334 (내부); 의료검사 $85~270 + Emirates ID $165 별도; 2026년 4월 1일부터 은행 잔고 명세 6개월 요구 (기존 3개월)",2026-04-03,N,N,N,183,N,high,Y,"고용계약서 또는 프리랜서 라이선스 신청서류; 소득 증빙 ($3,500+/월); 건강보험 (UAE 커버)",UAE 소득세 없음 (개인). 세계 최저 세율 국가,monthly,,https://www.mohre.gov.ae
ARG,Argentina,아르헨티나,90,무비자,Y,Digital Nomad Visa,2750,확인필요,6,Y,한국인 무비자 90일,"월 $2,500~3,000; 6개월+6개월 갱신 (총 12개월); 환율 혜택 (블루달러)",,N,N,N,183,N,low,Y,"소득 증빙 (정기 해외 송금 증명 $1,000+); 은행 잔고 증명; 범죄경력증명서 + 아포스티유",외국 소득 비과세 (영토 과세). 페소 환율 변동 주의,monthly,,https://www.migraciones.gov.ar
BGR,Bulgaria,불가리아,90,무비자 (솅겐),Y,Digital Nomad Residence Permit (2025년 12월 도입),2800,확인필요,12,Y,한국인 솅겐 협정 90일/180일,"연 €31,000 평균 소득 요건 (~€2,583/월); 2025년 12월 20일 공식 출시; Visa D → 거주허가 2단계 신청; 솅겐 회원국; 1회 갱신 가능; 솅겐 EES 2026년 4월 10일 발효; EES started 2025-10-12; progressive rollout with full implementation by 2026-04-10 (EU Travel Europe / eu-LISA).",2026-04-03,Y,Y,N,183,Y,low,Y,여권; 소득 증빙,확인 필요,확인필요,,https://www.mfa.bg/en
COL,Colombia (Medellín),콜롬비아 (메데진),90,무비자,Y,Colombia Digital Nomad Visa,1100,220,24,Y,한국인 무비자 90일,"최소 소득 COP 4,270,500/월 (~$1,100); 신청비 $52 + 승인 후 $170~230; 최대 2년",,N,N,N,183,N,low,Y,원격근무 고용계약서 또는 프리랜서 계약서; 소득 증빙 ($750+/월); 범죄경력증명서,비거주자 외국 소득 비과세. 영토 과세 원칙,monthly,,https://www.cancilleria.gov.co
CPV,Cape Verde,카보베르데,확인필요,e-Visa 필요 가능성,Y,Remote Working Program,1600,54,12,Y,한국인 관광 입국 조건 확인필요 (e-Visa 필요 가능성),"월 €1,500 (~$1,600) 잔고 증명; 신청비 €20 + 공항 보안료 €34; 6개월+6개월 연장",,N,확인필요,N,183,Y,low,Y,여권; 소득 증빙,확인 필요,확인필요,,https://www.gov.cv
CRI,Costa Rica,코스타리카,90,무비자,Y,Digital Nomad Visa (Rentista/Nómada),3000,100,12,Y,한국인 무비자 90일,"월 $3,000 (부양가족 있으면 $4,000); 신청비 $100; 국내 소득세 면제; 1년 갱신 가능",,N,N,N,183,N,medium,N,"소득 증빙 ($3,000+/월, 공증 필요); 범죄경력증명서 + 아포스티유; 건강보험 (코스타리카 사회보험 또는 동등)",외국 소득 비과세 (영토 과세 원칙),monthly,,https://www.migracion.go.cr
CZE,Czech Republic,체코,90,무비자 (솅겐),N,없음 (솅겐 90일 활용),0,0,3,N,한국인 솅겐 협정 90일/180일,전용 DN 비자 없음; 장기 체류 시 자유직업(Freelance) 비자 또는 사업 비자 고려; EES started 2025-10-12; progressive rollout with full implementation by 2026-04-10 (EU Travel Europe / eu-LISA).,2026-04-03,Y,Y,N,183,Y,medium,Y,"체코 무역업 허가증 신청서류 (živnostenský list); 재정 자립 증명 (잔고 €5,000 이상); 숙박 증빙 (임대계약서)",체코 거주자 세율 15% 단일세율. 소득공제 후 실효세율 낮음,monthly,,https://www.mzv.cz
DEU,Germany,독일,90,무비자 (솅겐),N,Freiberufler (프리랜서 비자),확인필요,100,36,Y,한국인 솅겐 협정 90일/180일,전용 DN 비자 없음; 프리랜서(Freiberufler) 비자로 장기 체류 가능; 소득 요건 사안별 상이; EES started 2025-10-12; progressive rollout with full implementation by 2026-04-10 (EU Travel Europe / eu-LISA).,2026-04-03,Y,Y,N,183,Y,high,Y,포트폴리오 또는 클라이언트 계약서; 재정 자립 증명 (잔고 증명 또는 소득 증빙); 거주 등록 확인서 (Anmeldung),독일 거주자로 전 세계 소득 과세. 세율 14~45%,monthly,,https://www.make-it-in-germany.com
ESP,Spain (Canary Islands),스페인 (카나리아 제도),90,무비자 (솅겐),Y,Digital Nomad Visa (Ley de Startups),3000,90,36,Y,한국인 솅겐 협정 90일/180일,"€2,763/월 (~$3,000) (2025년 12월 기준); 신청비 €80; 입국 전 신청 시 1년; 내부 신청 시 최대 3년; EES started 2025-10-12; progressive rollout with full implementation by 2026-04-10 (EU Travel Europe / eu-LISA).",2026-04-03,Y,Y,N,183,Y,medium,Y,고용계약서 또는 원격근무 증명서; 3개월 급여명세서; 범죄경력증명서 + 아포스티유,베케리아 법: 외국 소득 4년간 24% 단일세율,monthly,,https://www.exteriores.gob.es
